plik,numer_testu,nazwa_tabeli,czas_wykonania
tbd2b_dbt-run_exec1.txt,1,demo_bronze.brokerage_cash_transaction,41.42s
tbd2b_dbt-run_exec1.txt,2,demo_bronze.brokerage_daily_market,136.86s
tbd2b_dbt-run_exec1.txt,3,demo_bronze.brokerage_holding_history,13.64s
tbd2b_dbt-run_exec1.txt,4,demo_bronze.brokerage_trade,65.18s
tbd2b_dbt-run_exec1.txt,5,demo_bronze.brokerage_trade_history,54.57s
tbd2b_dbt-run_exec1.txt,6,demo_bronze.brokerage_watch_history,61.35s
tbd2b_dbt-run_exec1.txt,7,demo_bronze.crm_customer_mgmt,8.96s
tbd2b_dbt-run_exec1.txt,8,demo_bronze.finwire_company,2.99s
tbd2b_dbt-run_exec1.txt,9,demo_bronze.finwire_financial,81.83s
tbd2b_dbt-run_exec1.txt,10,demo_bronze.finwire_security,2.76s
tbd2b_dbt-run_exec1.txt,11,demo_bronze.hr_employee,3.58s
tbd2b_dbt-run_exec1.txt,12,demo_bronze.reference_date,1.13s
tbd2b_dbt-run_exec1.txt,13,demo_bronze.reference_industry,0.78s
tbd2b_dbt-run_exec1.txt,14,demo_bronze.reference_status_type,0.80s
tbd2b_dbt-run_exec1.txt,15,demo_bronze.reference_tax_rate,0.72s
tbd2b_dbt-run_exec1.txt,16,demo_bronze.reference_trade_type,0.82s
tbd2b_dbt-run_exec1.txt,17,demo_bronze.syndicated_prospect,5.73s
tbd2b_dbt-run_exec1.txt,18,demo_silver.daily_market,1950.77s
tbd2b_dbt-run_exec1.txt,19,demo_silver.employees,3.98s
tbd2b_dbt-run_exec1.txt,20,demo_silver.date,1.67s
tbd2b_dbt-run_exec1.txt,21,demo_silver.companies,6.15s
tbd2b_dbt-run_exec1.txt,22,demo_silver.accounts,13.94s
tbd2b_dbt-run_exec1.txt,23,demo_silver.customers,10.78s
tbd2b_dbt-run_exec1.txt,24,demo_silver.trades_history,468.45s
tbd2b_dbt-run_exec1.txt,25,demo_gold.dim_broker,4.21s
tbd2b_dbt-run_exec1.txt,26,demo_gold.dim_date,1.45s
tbd2b_dbt-run_exec1.txt,27,demo_gold.dim_company,2.50s
tbd2b_dbt-run_exec1.txt,28,demo_silver.financials,99.07s
tbd2b_dbt-run_exec1.txt,29,demo_silver.securities,4.75s
tbd2b_dbt-run_exec1.txt,30,demo_silver.cash_transactions,67.56s
tbd2b_dbt-run_exec1.txt,31,demo_gold.dim_customer,17.59s
tbd2b_dbt-run_exec1.txt,32,demo_gold.dim_trade,274.44s
tbd2b_dbt-run_exec1.txt,33,demo_silver.trades,358.78s
tbd2b_dbt-run_exec1.txt,34,demo_gold.dim_security,5.51s
tbd2b_dbt-run_exec1.txt,35,demo_silver.watches_history,144.39s
tbd2b_dbt-run_exec1.txt,36,demo_gold.dim_account,17.05s
tbd2b_dbt-run_exec1.txt,37,demo_silver.holdings_history,140.44s
tbd2b_dbt-run_exec1.txt,38,demo_silver.watches,214.23s
tbd2b_dbt-run_exec1.txt,39,demo_gold.fact_cash_transactions,73.63s
tbd2b_dbt-run_exec1.txt,40,demo_gold.fact_trade,249.60s
tbd2b_dbt-run_exec1.txt,41,demo_gold.fact_holdings,405.04s
tbd2b_dbt-run_exec1.txt,42,demo_gold.fact_watches,87.38s
tbd2b_dbt-run_exec1.txt,43,demo_gold.fact_cash_balances,98.51s
tbd2b_dbt-run_exec2.txt,1,demo_bronze.brokerage_cash_transaction,25.43s
tbd2b_dbt-run_exec2.txt,2,demo_bronze.brokerage_daily_market,78.70s
tbd2b_dbt-run_exec2.txt,3,demo_bronze.brokerage_holding_history,9.03s
tbd2b_dbt-run_exec2.txt,4,demo_bronze.brokerage_trade,37.92s
tbd2b_dbt-run_exec2.txt,5,demo_bronze.brokerage_trade_history,34.36s
tbd2b_dbt-run_exec2.txt,6,demo_bronze.brokerage_watch_history,39.38s
tbd2b_dbt-run_exec2.txt,7,demo_bronze.crm_customer_mgmt,5.96s
tbd2b_dbt-run_exec2.txt,8,demo_bronze.finwire_company,1.38s
tbd2b_dbt-run_exec2.txt,9,demo_bronze.finwire_financial,40.12s
tbd2b_dbt-run_exec2.txt,10,demo_bronze.finwire_security,2.07s
tbd2b_dbt-run_exec2.txt,11,demo_bronze.hr_employee,2.31s
tbd2b_dbt-run_exec2.txt,12,demo_bronze.reference_date,1.26s
tbd2b_dbt-run_exec2.txt,13,demo_bronze.reference_industry,1.26s
tbd2b_dbt-run_exec2.txt,14,demo_bronze.reference_status_type,1.46s
tbd2b_dbt-run_exec2.txt,15,demo_bronze.reference_tax_rate,1.15s
tbd2b_dbt-run_exec2.txt,16,demo_bronze.reference_trade_type,1.24s
tbd2b_dbt-run_exec2.txt,17,demo_bronze.syndicated_prospect,4.06s
tbd2b_dbt-run_exec2.txt,18,demo_silver.daily_market,965.28s
tbd2b_dbt-run_exec2.txt,19,demo_silver.employees,2.30s
tbd2b_dbt-run_exec2.txt,20,demo_silver.date,1.48s
tbd2b_dbt-run_exec2.txt,21,demo_silver.companies,3.68s
tbd2b_dbt-run_exec2.txt,22,demo_silver.accounts,8.41s
tbd2b_dbt-run_exec2.txt,23,demo_silver.customers,6.72s
tbd2b_dbt-run_exec2.txt,24,demo_silver.trades_history,241.26s
tbd2b_dbt-run_exec2.txt,25,demo_gold.dim_broker,2.92s
tbd2b_dbt-run_exec2.txt,26,demo_gold.dim_date,1.35s
tbd2b_dbt-run_exec2.txt,27,demo_gold.dim_company,1.90s
tbd2b_dbt-run_exec2.txt,28,demo_silver.financials,51.55s
tbd2b_dbt-run_exec2.txt,29,demo_silver.securities,3.72s
tbd2b_dbt-run_exec2.txt,30,demo_silver.cash_transactions,35.03s
tbd2b_dbt-run_exec2.txt,31,demo_gold.dim_customer,11.60s
tbd2b_dbt-run_exec2.txt,32,demo_gold.dim_trade,160.36s
tbd2b_dbt-run_exec2.txt,33,demo_silver.trades,181.89s
tbd2b_dbt-run_exec2.txt,34,demo_gold.dim_security,4.62s
tbd2b_dbt-run_exec2.txt,35,demo_silver.watches_history,81.17s
tbd2b_dbt-run_exec2.txt,36,demo_gold.dim_account,10.56s
tbd2b_dbt-run_exec2.txt,37,demo_silver.holdings_history,71.82s
tbd2b_dbt-run_exec2.txt,38,demo_silver.watches,109.90s
tbd2b_dbt-run_exec2.txt,39,demo_gold.fact_cash_transactions,43.05s
tbd2b_dbt-run_exec2.txt,40,demo_gold.fact_trade,131.27s
tbd2b_dbt-run_exec2.txt,41,demo_gold.fact_holdings,211.08s
tbd2b_dbt-run_exec2.txt,42,demo_gold.fact_watches,51.21s
tbd2b_dbt-run_exec2.txt,43,demo_gold.fact_cash_balances,61.21s
tbd2b_dbt-run_exec5.txt,1,demo_bronze.brokerage_cash_transaction,22.17s
tbd2b_dbt-run_exec5.txt,2,demo_bronze.brokerage_daily_market,45.46s
tbd2b_dbt-run_exec5.txt,3,demo_bronze.brokerage_holding_history,7.41s
tbd2b_dbt-run_exec5.txt,4,demo_bronze.brokerage_trade,16.86s
tbd2b_dbt-run_exec5.txt,5,demo_bronze.brokerage_trade_history,18.50s
tbd2b_dbt-run_exec5.txt,6,demo_bronze.brokerage_watch_history,23.81s
tbd2b_dbt-run_exec5.txt,7,demo_bronze.crm_customer_mgmt,6.54s
tbd2b_dbt-run_exec5.txt,8,demo_bronze.finwire_company,1.51s
tbd2b_dbt-run_exec5.txt,9,demo_bronze.finwire_financial,24.34s
tbd2b_dbt-run_exec5.txt,10,demo_bronze.finwire_security,2.85s
tbd2b_dbt-run_exec5.txt,11,demo_bronze.hr_employee,2.50s
tbd2b_dbt-run_exec5.txt,12,demo_bronze.reference_date,1.04s
tbd2b_dbt-run_exec5.txt,13,demo_bronze.reference_industry,0.72s
tbd2b_dbt-run_exec5.txt,14,demo_bronze.reference_status_type,0.79s
tbd2b_dbt-run_exec5.txt,15,demo_bronze.reference_tax_rate,0.78s
tbd2b_dbt-run_exec5.txt,16,demo_bronze.reference_trade_type,0.75s
tbd2b_dbt-run_exec5.txt,17,demo_bronze.syndicated_prospect,4.05s
tbd2b_dbt-run_exec5.txt,18,demo_silver.daily_market,385.58s
tbd2b_dbt-run_exec5.txt,19,demo_silver.employees,2.31s
tbd2b_dbt-run_exec5.txt,20,demo_silver.date,1.20s
tbd2b_dbt-run_exec5.txt,21,demo_silver.companies,6.24s
tbd2b_dbt-run_exec5.txt,22,demo_silver.accounts,9.42s
tbd2b_dbt-run_exec5.txt,23,demo_silver.customers,8.29s
tbd2b_dbt-run_exec5.txt,24,demo_silver.trades_history,111.08s
tbd2b_dbt-run_exec5.txt,25,demo_gold.dim_broker,3.43s
tbd2b_dbt-run_exec5.txt,26,demo_gold.dim_date,1.60s
tbd2b_dbt-run_exec5.txt,27,demo_gold.dim_company,2.26s
tbd2b_dbt-run_exec5.txt,28,demo_silver.financials,32.94s
tbd2b_dbt-run_exec5.txt,29,demo_silver.securities,3.88s
tbd2b_dbt-run_exec5.txt,30,demo_silver.cash_transactions,30.76s
tbd2b_dbt-run_exec5.txt,31,demo_gold.dim_customer,13.34s
tbd2b_dbt-run_exec5.txt,32,demo_gold.dim_trade,96.19s
tbd2b_dbt-run_exec5.txt,33,demo_silver.trades,96.69s
tbd2b_dbt-run_exec5.txt,34,demo_gold.dim_security,5.66s
tbd2b_dbt-run_exec5.txt,35,demo_silver.watches_history,40.71s
tbd2b_dbt-run_exec5.txt,36,demo_gold.dim_account,11.39s
tbd2b_dbt-run_exec5.txt,37,demo_silver.holdings_history,38.28s
tbd2b_dbt-run_exec5.txt,38,demo_silver.watches,141.20s
tbd2b_dbt-run_exec5.txt,39,demo_gold.fact_cash_transactions,170.42s
tbd2b_dbt-run_exec5.txt,40,demo_gold.fact_trade,477.15s
tbd2b_dbt-run_exec5.txt,41,demo_gold.fact_holdings,758.65s
tbd2b_dbt-run_exec5.txt,42,demo_gold.fact_watches,235.78s
tbd2b_dbt-run_exec5.txt,43,demo_gold.fact_cash_balances,191.59s

